Nombre del producto del pedido,Tapa y base,Cumple con el reglamento RoHS de la UE,Vida útil nominal (nominal) h,Ciclo de alternado,Nivel,Código de color,Ángulo de haz (nominal) °,Flujo luminoso (nominal) lm,Designación de color,Temperatura de color correlacionada (nominal) K,Eficacia lumínica (promedio) (nominal) lm/W,Consistencia de color,Índice de reproducción de color (Nom),LLMF al final de la vida útil nominal (nominal) %,Frecuencia de entrada Hz,Potencia (nominal) W,Corriente de la lámpara (máx.) mA,Corriente de la lámpara (mín.) mA,Equivalente en potencia en vatios W,Tiempo de inicio (nominal) s,Tiempo de calentamiento para 60 % de luz (nominal) s,Tipo UL,Factor de potencia (nominal),Voltaje (nominal) V,T° ambiente (máx.) °C,T° ambiente (mín.) °C,Almacenamiento en T (rango),T° almacenamiento (máx.) °C,T° almacenamiento (mín.) °C,T° estuche máxima (nominal) °C,Con regulación de intensidad,Acabado del foco,Material del foco,Longitud del producto mm,Forma del foco,Conformidad con RoHS,Certificado UL,Cumplimiento con DLC,Consumo de energía kWh/1000 h kWh,EAN/UPC: producto,Código del pedido,Numerador SAP: cantidad por paquete,Numerador: paquetes por caja externa,N.° de material (12NC),Copiar peso neto (pieza) kg,link,Número de modelo,Flujo luminoso (promedio) (nominal) lm,Marcado CE,Certificado KEMA Keur,Código local,Código del producto completo,Descripción del código local calculado B2B,Marca CE,Referencia de medición de flujo,Clase de eficacia energética,TUV,Número de registro de EPREL,Certificaciones Energy,Tipo técnico,Conectividad,Intensidad lumínica (nominal) cd,Corriente de la lámpara (nominal) mA,Energy Star,2200 K,2700 K,Flujo luminoso en cono de 90° (promedio) lm,Aplicación principal,Controlador incluido,Interfaz de control,Cable,Clase de protección IEC,Prueba de resplandor del cable,Período de garantía,Salida lumínica constante,Cantidad de productos en MCB de 16 A Tipo B),Tensión de entrada V,Consumo de energía de CLO inicial W,Consumo de energía de CLO promedio W,Factor de potencia (mín.),Longitud total mm,Ancho total mm,Altura total mm,Código de protección de ingreso,Código de protección de impacto mec.,Flujo luminoso inicial lm,Tolerancia del flujo luminoso,Eficacia de la luminaria LED inicial lm/W,Temperatura de color correlacionada inic. K,Índice de reproducción de color inic.,Cromaticidad inicial,Potencia de entrada inicial W,Tolerancia del consumo de energía,Vida útil media L70B50 h,Rango de temperatura ambiente,Nivel de regulación máximo
14T8/48-835/IF20/MC IA 10/1,G13 [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterConnect,835 [ CCT de 3.500 K],160.0,2000.0,Blanco (WH),3500.0,142.0,<6,82,70.0,,14.0,380.0,120.0,,0.5,0.5,Tipo A TLED: lista UL HF,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,40.0,Regulación de intensidad inalámbrica,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677547295,929002051804,1,10,929002051804,0.22,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/led-masterconnect/masterconnect-t8/929002051804_EU/product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14T8/48-840/IF21/MC IA 10/1,G13 [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterConnect,840 [ CCT de 4.000 K],160.0,2100.0,Blanco frío (CW),4000.0,150.0,<6,82,70.0,,14.0,380.0,120.0,,0.5,0.5,Tipo A TLED: lista UL HF,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,40.0,Regulación de intensidad inalámbrica,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677547301,929002051904,1,10,929002051904,0.22,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/led-masterconnect/masterconnect-t8/929002051904_EU/product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14T8/48-850/IF21/MC IA 10/1,G13 [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterConnect,850 [ CCT de 5.000 K],160.0,2100.0,Luz de día,5000.0,150.0,<5,82,70.0,,14.0,380.0,120.0,,0.5,0.5,Tipo A TLED: lista UL HF,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,40.0,Regulación de intensidad inalámbrica,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677547318,929002052004,1,10,929002052004,0.22,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/led-masterconnect/masterconnect-t8/929002052004_EU/product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.5T8/48-835/MF20/MC IA 10/1,G13 ROT (Rotating) [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterConnect,835 [ CCT de 3.500 K],160.0,2000.0,Blanco (WH),3500.0,137.0,<6,82,70.0,,14.5,125.0,59.0,,1.0,0.5,Tipo B TLED: extremo doble de clasificación UL,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,45.0,Regulación de intensidad inalámbrica,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677562731,929002456604,1,10,929002456604,0.22,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/led-masterconnect/masterconnect-t8/929002456604_EU/product,9290024566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.5T8/48-840/MF21/MC IA 10/1,G13 ROT (Rotating) [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterConnect,840 [ CCT de 4.000 K],160.0,2100.0,Blanco frío (CW),4000.0,144.0,<6,82,70.0,,14.5,125.0,59.0,,1.0,0.5,Tipo B TLED: extremo doble de clasificación UL,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,45.0,Regulación de intensidad inalámbrica,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677562748,929002456704,1,10,929002456704,0.22,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/led-masterconnect/masterconnect-t8/929002456704_EU/product,9290024567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.5T8/48-850/MF21/MC IA 10/1,G13 ROT (Rotating) [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterConnect,850 [ CCT de 5.000 K],160.0,2100.0,Luz de día,5000.0,144.0,<5,82,70.0,,14.5,125.0,59.0,,1.0,0.5,Tipo B TLED: extremo doble de clasificación UL,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,45.0,Regulación de intensidad inalámbrica,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677562755,929002456804,1,10,929002456804,0.22,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/led-masterconnect/masterconnect-t8/929002456804_EU/product,9290024568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTER LEDtube STD 1200mm 14W840 T8 I W,G13 [ Medium Bi-Pin Fluorescent],Sí,50000.0,200000,,840 [ CCT de 4.000 K],160.0,2100.0,Blanco frío (CW),4000.0,150.0,<6,80,70.0,,14.0,170.0,50.0,,0.5,0.5,,0.92,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,55.0,No,Esmerilado,,1200.0,"Tubo, terminal doble",Sí,,,14.0,046677554224,929001375442,1,25,929001375442,0.1,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/master-ledtube-em-mains-t8/929001375442_EU/product,,2100.0,Sí,Sí,554220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTER LEDtube 1200mm HO VWV 18W 840 T8,G13 [ Medium Bi-Pin Fluorescent],Sí,60000.0,200000,,840 [ CCT de 4.000 K],160.0,2100.0,Blanco frío (CW),4000.0,116.0,<6,80,70.0,,18.0,183.0,69.0,,0.5,0.5,,0.90,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,60.0,No,,,1200.0,"Tubo, terminal doble",Sí,Sí,,18.0,8718696811191,929001877312,1,10,929001877312,0.22,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/master-ledtube-em-mains-t8/929001877312_EU/product,,,Sí,Sí,350223,871869681119100,MAS LEDtube 1200mm HO VWV 18W 840 T8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTER LEDtube 1200mm HO VWV 18W 865 T8,G13 [ Medium Bi-Pin Fluorescent],Sí,60000.0,200000,,865 [ CCT de 6.500 K],160.0,2100.0,Luz de día fría,6500.0,116.0,<6,80,70.0,,18.0,183.0,69.0,,0.5,0.5,,0.90,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,60.0,No,,,1200.0,"Tubo, terminal doble",Sí,Sí,,18.0,8718696811214,929001877412,1,10,929001877412,0.22,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/master-ledtube-em-mains-t8/929001877412_EU/product,,,Sí,Sí,350231,871869681121400,MAS LEDtube 1200mm HO VWV 18W 865 T8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTER LEDtube 600mm HO VWV 10W 840 T8,G13 [ Medium Bi-Pin Fluorescent],Sí,60000.0,200000,,840 [ CCT de 4.000 K],160.0,1050.0,Blanco frío (CW),4000.0,105.0,<6,80,70.0,,10.0,101.0,38.0,,0.5,0.5,,0.90,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,60.0,No,Esmerilado,,600.0,"Tubo, terminal doble",Sí,Sí,,10.0,8718696811238,929001877512,1,10,929001877512,0.12,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/master-ledtube-em-mains-t8/929001877512_EU/product,,,Sí,Sí,350207,871869681123800,MAS LEDtube 600mm HO VWV 10W 840 T8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
