stove_details_name,details_manu,details_web,details_tiers_eff_num,details_tiers_safe_num,details_tiers_co_num,details_tiers_pm_num,details_tiers_iwa_ie_num,stove_life,pot_rec,pot_cap,stove_feed,stove_food_common,stove_price,stove_dimensions,stove_weight,stove_assembly_materials,iso_co_val,iso_co_sd,iso_co_num,iso_co_date,iso_co_fuel,iso_pm_val,iso_pm_sd,iso_pm_num,iso_pm_date,iso_pm_fuel,iso_eff_char_val,iso_eff_char_sd,iso_eff_char_num,iso_eff_char_date,iso_eff_char_fuel,iwa_co_val,iwa_co_sd,iwa_co_num,iwa_co_date,hp_co_fuel,iwa_pm_val,iwa_pm_sd,iwa_pm_num,iwa_pm_date,hp_pm_fuel,iwa_co_low_val,iwa_co_low_sd,iwa_co_low_num,iwa_co_low_date,lp_co_fuel,iwa_pm_low_val,iwa_pm_low_sd,iwa_pm_low_num,iwa_pm_low_date,lp_pm_fuel,iwa_eff_val,iwa_eff_sd,iwa_eff_num,iwa_eff_date,hp_eff_fuel,stove_feed_min,stove_feed_max,stove_feed_average,stove_price_min,stove_price_max,stove_price_average,iso_co_sd_min,iso_co_sd_max,iso_co_sd_average,iso_pm_sd_min,iso_pm_sd_max,iso_pm_sd_average,iso_eff_char_sd_min,iso_eff_char_sd_max,iso_eff_char_sd_average,iwa_co_sd_min,iwa_co_sd_max,iwa_co_sd_average,iwa_pm_sd_min,iwa_pm_sd_max,iwa_pm_sd_average,iwa_co_low_sd_min,iwa_co_low_sd_max,iwa_co_low_sd_average,iwa_pm_low_sd_min,iwa_pm_low_sd_max,iwa_pm_low_sd_average,iwa_eff_sd_min,iwa_eff_sd_max,iwa_eff_sd_average
Mimi Moto,Mimi Moto Holding B.V.,http://www.mimimoto.nl/,4.0,,5.0,4.0,,10.0,Both,50.0,3.0-7.0,all cooking practices because of the 2 burning chambers,40.0-65.0,260.0/260.0/360.0,4.15,Feet and Pan support,2.23,2.2 - 2.2,1,2021.0,Pellets,30.0,30 - 30,1,2021.0,Pellets,49.7,49.7 - 49.7,1,2021.0,Pellets,0.2,0.2 - 0.2,1,2015.0,Pellets,13.9,13.9 - 13.9,1,2015.0,Pellets,0.0,0 - 0,1,2015.0,Pellets,0.1,0.1 - 0.1,1,2015.0,Pellets,46.8,46.8 - 46.8,1,2015.0,Pellets,3.0,7.0,5.0,40.0,65.0,52.5,2.2,2.2,2.2,30.0,30.0,30.0,49.7,49.7,49.7,0.2,0.2,0.2,13.9,13.9,13.9,0.0,0.0,0.0,0.1,0.1,0.1,46.8,46.8,46.8
Philips HD4012,Philips,http://www.philips.com/,3.0,,4.0,3.0,,,Both,100.0,,,89.0-89.0,330.0/350.0/330.0,4.6,,3.23,3.2 - 3.2,1,2021.0,Wood,118.8,119 - 119,1,2021.0,Wood,38.4,38.4 - 38.4,1,2021.0,Wood,1.8,1 - 2.7,2,2012.0,Wood,104.8,62.3 - 147.3,2,2012.0,Wood,0.0,0 - 0,2,2012.0,Wood,0.6,0.6 - 0.7,2,2012.0,Wood,38.9,38.4 - 39.4,2,2012.0,Wood,,,,89.0,89.0,89.0,3.2,3.2,3.2,119.0,119.0,119.0,38.4,38.4,38.4,1.0,2.7,1.85,62.3,147.3,104.80000000000001,0.0,0.0,0.0,0.6,0.7,0.6499999999999999,38.4,39.4,38.9
Envirofit G-3300,Envirofit International,http://www.envirofit.org/,3.0,,3.0,1.0,,,,,,,,275.0/261.0/288.0,5.2,,4.53,4.5 - 4.5,1,2021.0,Wood,328.3,328 - 328,1,2021.0,Wood,39.8,39.8 - 39.8,1,2021.0,Wood,3.8,3.1 - 5.1,4,2012.0,Wood,320.8,249.5 - 478,4,2012.0,Wood,0.1,0 - 0.1,4,2012.0,Wood,1.7,0.4 - 2.5,4,2012.0,Wood,35.6,28.5 - 39.4,5,,Wood,,,,,,,4.5,4.5,4.5,328.0,328.0,328.0,39.8,39.8,39.8,3.1,5.1,4.1,249.5,478.0,363.75,0.0,0.1,0.05,0.4,2.5,1.45,28.5,39.4,33.95
Kenyan Ceramic Jiko,Sanivation,,3.0,,0.0,3.0,,,Both,,,,,,,,19.27,19.3 - 19.3,1,2021.0,Charcoal,95.3,95 - 95,1,2021.0,Charcoal,38.7,38.7 - 38.7,1,2021.0,Charcoal,35.7,30 - 41.4,2,2012.0,Charcoal,473.0,298.5 - 647.5,2,2012.0,Charcoal,0.1,0.1 - 0.1,2,2012.0,Charcoal,0.6,0.4 - 0.7,2,2012.0,Charcoal,30.8,29.2 - 32.3,2,2012.0,Charcoal,,,,,,,19.3,19.3,19.3,95.0,95.0,95.0,38.7,38.7,38.7,30.0,41.4,35.7,298.5,647.5,473.0,0.1,0.1,0.1,0.4,0.7,0.55,29.2,32.3,30.75
Three Stone Fire,,,1.0,,1.0,0.0,,,Flat bottom,,,,,,,,15.5,15.5 - 15.5,1,2021.0,Wood,943.3,943 - 943,1,2021.0,Wood,14.4,14.4 - 14.4,1,2021.0,Wood,15.4,11.2 - 19.9,3,2012.0,Wood,1486.2,718.5 - 2390,3,2012.0,Wood,0.2,0.2 - 0.2,3,2012.0,Wood,17.1,8.6 - 28.7,3,2012.0,Wood,14.1,13.7 - 14.9,3,2012.0,Wood,,,,,,,15.5,15.5,15.5,943.0,943.0,943.0,14.4,14.4,14.4,11.2,19.9,15.549999999999999,718.5,2390.0,1554.25,0.2,0.2,0.2,8.6,28.7,18.65,13.7,14.9,14.3
CleanCook Aluminum One-Burner (A1),Dometic (Pty) Ltd.,http://www.dometic.com/enie/International/Site/CleanCook-Alcohol-Fueled-Stoves/CleanCook-product-range/,4.0,4.0,,,4.0,6.0,Both,5.0,5.0-5.0,All types cooked in a pot or frying pan,,340.0/290.0/160.0,2.2,"riveting tool, screwdriver, wrench",,,0,,,,,0,,,,,0,,,1.5,1.5 - 1.5,1,2015.0,Ethanol/alcohol,1.5,1.5 - 1.5,1,2015.0,Ethanol/alcohol,0.0,0 - 0,1,2015.0,Ethanol/alcohol,0.0,0 - 0,1,2015.0,Ethanol/alcohol,56.2,56.2 - 56.2,1,2015.0,Ethanol/alcohol,5.0,5.0,5.0,,,,,,,,,,,,,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,56.2,56.2,56.2
Shengzhou Charcoal Stove,Shengzhou Stove Manufacturer,http://www.ssmcookstoves.com/,4.0,,,,4.0,3.0,Flat bottom,9.0,3.0-12.0,Any food that can be cooked in a pot at low or high power.,20.0-20.0,280.0/280.0/260.0,7.0,,,,0,,,,,0,,,,,0,,,6.4,6.4 - 6.4,1,2013.0,Charcoal,28.2,28.2 - 28.2,1,2013.0,Charcoal,0.0,0 - 0,1,2013.0,Charcoal,0.0,0 - 0,1,2013.0,Charcoal,47.0,47 - 47,1,2013.0,Charcoal,3.0,12.0,7.5,20.0,20.0,20.0,,,,,,,,,,6.4,6.4,6.4,28.2,28.2,28.2,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,47.0
Natural Draft Top Lit Up Draft Stove (TLUD),Shengzhou Stove Manufacturer,http://www.ssmcookstoves.com/,4.0,,,,3.0,3.0,Flat bottom,7.0,5.0-7.0,Any food that can be cooked in a pot at low or high power.,20.0-20.0,280.0/300.0/530.0,5.5,,,,0,,,,,0,,,,,0,,,0.1,0.1 - 0.1,1,2014.0,Wood,24.9,24.9 - 24.9,1,2014.0,Wood,0.0,0 - 0,1,2014.0,Wood,0.2,0.2 - 0.2,1,2014.0,Wood,45.6,45.6 - 45.6,1,2014.0,Wood,5.0,7.0,6.0,20.0,20.0,20.0,,,,,,,,,,0.1,0.1,0.1,24.9,24.9,24.9,0.0,0.0,0.0,0.2,0.2,0.2,45.6,45.6,45.6
100 Liter Institutional Cookstove,Institutional Stove Solutions,http://www.instove.org/,4.0,3.0,,,4.0,,Other pot type,100.0,50.0-700.0,"Beans, rice, curry, porridge, corn, etc.",995.0-995.0,950.0/670.0/860.0,50.0,Successful mass production depends on establishing step-by-step operations and using the best possible tooling and custom jigs -- all of which force precision construction. This method of sending all needed material to build thousands of stoves is referred to as 'Stove-Factory-In-A-Box'.,,,0,,,,,0,,,,,0,,,1.3,1.3 - 1.3,1,2013.0,Wood,102.0,102 - 102,1,2013.0,Wood,0.0,0 - 0,1,2013.0,Wood,0.5,0.5 - 0.5,1,2013.0,Wood,46.7,46.7 - 46.7,1,2013.0,Wood,50.0,700.0,375.0,995.0,995.0,995.0,,,,,,,,,,1.3,1.3,1.3,102.0,102.0,102.0,0.0,0.0,0.0,0.5,0.5,0.5,46.7,46.7,46.7
60 Liter Institutional Cookstove,Institutional Stove Solutions,http://www.instove.org/,4.0,3.0,,,4.0,10.0,Other pot type,60.0,25.0-400.0,"Beans, rice, curry, porridge, corn, etc.",850.0-850.0,880.0/590.0/880.0,38.0,Successful mass production depends on establishing step-by-step operations and using the best possible tooling and custom jigs -- all of which force precision construction. This method of sending all needed material to build thousands of stoves is referred to as 'Stove-Factory-In-A-Box'.,,,0,,,,,0,,,,,0,,,0.8,0.8 - 0.8,1,2013.0,Wood,83.1,83.1 - 83.1,1,2013.0,Wood,0.0,0 - 0,1,2013.0,Wood,0.5,0.5 - 0.5,1,2013.0,Wood,48.4,48.4 - 48.4,1,2013.0,Wood,25.0,400.0,212.5,850.0,850.0,850.0,,,,,,,,,,0.8,0.8,0.8,83.1,83.1,83.1,0.0,0.0,0.0,0.5,0.5,0.5,48.4,48.4,48.4
